PET,real_meaning,category,source
a certain age,old,physical/mental attributes,"Kapron-King, A.,  OED"
able-bodied,non disable,physical/mental attributes,-
accident,peeing your pants,bodily functions,-
addict,drug user,substances,-
adult beverage,alcoholic drink,substances,-
advanced age,old age,physical/mental attributes,-
african american,black person,physical/mental attributes,"Kapron-King, A., Martin, 1991"
aging,getting old,physical/mental attributes,"Gormandy White, Mary"
alcoholic,excessive drinker of alcohol,substances,-
alcoholism,excessive drinking of alcohol,substances,-
along in years,old,physical/mental attributes,-
armed conflict,war,politics,"Kapron-King, Anna"
au natural,naked or nude,sexual activity,"Gormandy White, Mary"
batting for the other team,homosexual,sexual activity,-
between jobs,unemployed,employment,"Gormandy White, Mary"
birds and the bees,sex,sexual activity,-
bosom,breasts,physical/mental attributes,"Kapron-King, A., Rawson, 1981"
break wind,fart,bodily functions,"Gormandy White, Mary"
broken home,home with divorced parents,familial matters,-
bust,breasts,physical/mental attributes,"Kapron-King, A., Rawson, 1981"
capital punishment,death penalty,death,English Club
chest,breasts,physical/mental attributes,"Kapron-King, A., Rawson, 1981"
chronologically-challenged,late,physical/mental attributes,-
collateral damage,killing or wounding civilians by mistake,death,"Holder, R.W."
comfort woman,prostitute,sexual activity,"Holder, R.W."
correctional facility,jails or prisons,employment,-
cultural cleansing,genocide,politics,"Kapron-King, A., OED"
curvy,fat,physical/mental attributes,"Gormandy White, Mary"
custodian,janitor,employment,"Jones, Bradford"
dearly departed,dead,death,"Gormandy White, Mary"
deceased,dead,death,English Club
demise,death,death,"Heerema, Esther"
deprived,poor,employment,"Kapron-King, A., Rawson, 1981"
detainee,prisoner,politics,"Kapron-King, A., Rawson, 1981"
detention camp,prison,politics,"Kapron-King, A., Rawson, 1981"
developed country,first world country,politics,"Kapron-King, A., Silver, 2015"
developing country,third world or impoverished nation,politics,"Kapron-King, A., Silver, 2015"
developmentally disabled,retarded,physical/mental attributes,"Kapron-King, Anna"
doing it,had sex,sexual activity,-
didn't make it,died,death,"Jones, Bradford"
differently-abled,handicapped,physical/mental attributes,"Holder, R.W."
disabled,crippled,physical/mental attributes,"Kapron-King, A., O'Conner Kellerman,2012"
disadvantaged,poor,employment,"Jones, Bradford"
dismissed,to get fired,employment,"Jones, Bradford"
domestic engineer,maid or stay at home mother,employment,-
downsize,fire,employment,-
drinking problem,excessive drinking of alcohol,substances,-
droppings,animal feces,bodily functions,-
economical,cheap,employment,"Gormandy White, Mary"
economical with the truth,to be lying,physical/mental attributes,-
elderly,old,physical/mental attributes,"Jones, Bradford"
enhanced interrogation technique,torture,politics,"Kapron-King, Anna"
ethnic cleansing,genocide,death,"Kapron-King, Anna"
ethnically cleansed,killed,death,-
expecting,to be pregnant,physical/mental attributes,English Club
experienced,old,physical/mental attributes,"Gormandy White, Mary"
exterminate,murder,politics,"Kapron-King, Anna"
fade away,to die,death,"Holder, R.W."
family jewels,testicles,physical/mental attributes,"Kapron-King, A., OED"
fatality,deaths,death,-
first base,kissing,sexual activity,-
fourth base,having sex,sexual activity,-
freedom fighter,rebel,politics,"Kapron-King, Anna"
friends with benefits,person you have sex with,sexual activity,-
full figured,fat,physical/mental attributes,English Club
getting clean,discontinuing drug use,substances,-
global south,third world,politics,"Kapron-King, A., Silver, 2015"
gluteus maximus,buttocks,physical/mental attributes,-
go all the way,have sex,sexual activity,-
go to a better place,die,death,"Kapron-King, A., OED"
golden years,old age,physical/mental attributes,"Gormandy White, Mary"
go to heaven,died,death,-
got clean,discontinued drug use,substances,-
let go of,fired,employment,-
hearing impaired,deaf,physical/mental attributes,-
homemaker,housewife,employment,"Jones, Bradford"
illegal immigrant,illegal alien,politics,-
in a delicate condition,pregnant,bodily functions,"Kapron-King, A., Rawson, 1981"
in the family way,pregnant,bodily functions,"Kapron-King, A., Rawson, 1981"
income inequality,poverty,employment,"Kapron-King, Anna"
indigent,poor,employment,"Kapron-King, A., Rawson, 1981"
indisposed,in the bathroom,sexual activity,"Gormandy White, Mary"
inebriated,drunk,substances,"Kapron-King, A., Rawson, 1981"
inner city,ghetto,politics,"Kapron-King, Anna"
intoxicated,drunk,substances,"Kapron-King, A., Rawson, 1981"
invalid,cripple,physical/mental attributes,"Kapron-King, Anna"
is in a better place,dead,death,-
juvenile detention center,jail for children,employment,-
lay off,fired,employment,-
late,dead,death,"Gormandy White, Mary"
latrine,toilet,bodily functions,"Kapron-King, A., Rawson, 1981"
lavatory,toilet,bodily functions,"Kapron-King, A., Rawson, 1981"
less fortunate,poor,employment,-
let [pro] go,fired,employment,-
letting someone go,firing an employee,employment,"Gormandy White, Mary"
little boy's room,bathroom,bodily functions,"Kapron-King, A., OED"
little girl's room,bathroom,bodily functions,"Kapron-King, A., OED"
long sleep,death,death,"Kapron-King, Anna"
lose [pro] lunch,vomit,bodily functions,-
lose [pro] marbles,going crazy,physical/mental attributes,-
low-income,poor,employment,"Kapron-King, A., Rawson, 1981"
make love,had sex,sexual activity,-
mentally challenged,retarded,physical/mental attributes,-
mentally disabled,retarded,physical/mental attributes,"Kapron-King, Anna"
mist before her eyes,crying,bodily functions,-
mistruth,lie,politics,"Kapron-King, Anna"
mixed up,confused,physical/mental attributes,-
negative cash flow,in debt,employment,"Gormandy White, Mary"
negative patient outcome,died,death,"Gormandy White, Mary"
neutralize,kill,politics,"Kapron-King, A., OED"
number one,urinate,bodily functions,"Gormandy White, Mary"
number two,a bowel movement,bodily functions,"Gormandy White, Mary"
oldest profession,prostitution,sexual activity,"Kapron-King, A., OED"
outlive [pro] usefulness,no longer needed for a position,employment,-
outspoken,bossy,misc.,"Gormandy White, Mary"
outstanding payment,past-due bill,employment,"Gormandy White, Mary"
over the hill,old,physical/mental attributes,-
overweight,fat,physical/mental attributes,"Jones, Bradford"
pass away,to die,death,"Jones, Bradford"
pass gas,fart,bodily functions,"Gormandy White, Mary"
pass on,to die,death,-
people of color,non white,physical/mental attributes,-
perish,to die,death,"Kapron-King, Anna"
physically challenged,crippled,physical/mental attributes,-
plump,fat,physical/mental attributes,-
plus-sized,fat,physical/mental attributes,"Kapron-King, Anna"
portly,fat,physical/mental attributes,"Kapron-King, A., Rawson, 1981"
powder [pro] nose,go to the toilet,bodily functions,-
pregnancy termination,abortion,death,-
pre-owned,used,physical/mental attributes,-
problem drinker,excessive drinker of alcohol,substances,-
pro-choice,for women's right to choose abortion,politics,-
pro-life,anti-abortion,politics,"Kapron-King, Anna"
psychiatric hospital,insane asylum,physical/mental attributes,"Kapron-King, Anna"
put to sleep,euthanizing a pet,death,"Gormandy White, Mary"
rear end,buttocks,physical/mental attributes,-
regime change,coup,politics,"Kapron-King, A., OED"
resting in peace,deceased,death,"Gormandy White, Mary"
running behind,late,misc.,"Gormandy White, Mary"
same-sex,gay,sexual activity,"Kapron-King, Anna"
sanitary towel,feminine products,bodily functions,-
sanitation worker,garbage or rubbish collector,employment,English Club
seasoned,old,physical/mental attributes,"Gormandy White, Mary"
second base,touching above waist,sexual activity,-
seeing other people,broken up,sexual activity,-
seeing someone,cheating on one's partner,sexual activity,-
self-service,masturbation,sexual activity,-
senior citizen,old person,physical/mental attributes,English Club
sex worker,prostitute,sexual activity,"Kapron-King, A., OED"
sexual assault,rape,sexual activity,"Kapron-King, A., Rawson, 1981"
sleep around,have a lot of sex,sexual activity,-
sleep with,have sex,sexual activity,-
slim,skinny,physical/mental attributes,-
sniffles,runny nose,illness,"Gormandy White, Mary"
sober,no longer using drugs or alcohol,substances,-
special needs,retarded,physical/mental attributes,"Kapron-King, Anna"
stout,fat,physical/mental attributes,"Kapron-King, A., OED"
street person,homeless person,employment,"Kapron-King, Anna"
substance abuse,misusing drugs or alcohol,substances,-
substance abuser,person who misuses drugs or alcohol,substances,-
targeted killing,assassination,politics,"Kapron-King, Anna"
terminate with extreme prejudice,assassinate,politics,"Kapron-King, A., OED"
terminating a pregnancy,had an abortion,death,-
third base,sexual touching,sexual activity,-
time of the month,menstruating,bodily functions,-
tinkle,urinate,bodily functions,-
to go to heaven,die,death,-
troubled,depressed/delinquent,physical/mental attributes,-
under the weather,sick or ill,illness,"Gormandy White, Mary"
underdeveloped,primitive,politics,"Kapron-King, A., Rawson, 1981"
underprivileged,poor,employment,"Jones, Bradford"
undocumented immigrant,people in a country illegally,politics,-
undocumented worker,people in a country illegally,politics,-
urban outdoorsman,homeless,employment,-
venereal disease,syphilis,sexual activity,"Kapron-King, Anna"
vertically challenged,short,physical/mental attributes,-
water closet,toilet,bodily functions,"Kapron-King, A., OED"
wealthy,rich,employment,"Gormandy White, Mary"
weed,marijuana,substances,"Kapron-King, A., Woelfel, 2019"
well-fed,fat,physical/mental attributes,-
well off,rich,employment,"Jones, Bradford"
went to a better place,died,death,-
went to be with the lord,died,death,"Heerema, Esther"
with child,pregnant,physical/mental attributes,"Gormandy White, Mary"
