euphemism,type,real_meaning,category,source
a certain age,a certain age,old,physical/mental attributes,"Kapron-King, A.,  OED"
able-bodied,able-bodied,non disable,physical/mental attributes,-
accident,accident,peeing your pants,bodily functions,-
accident,accident,tragic event,misc.,-
addict,addict,drug user,substances,-
addicts,addict,drug users,substances,-
adult beverage,adult beverage,alcoholic drink,substances,-
adult beverages,adult beverage,alcoholic drinks,substances,-
advanced age,advanced age,old age,physical/mental attributes,-
african american,african american,black person,physical/mental attributes,"Kapron-King, A., Martin, 1991"
african americans,african american,black people,physical/mental attributes,-
aging,aging,getting old,physical/mental attributes,"Gormandy White, Mary"
alcoholic,alcoholic,excessive drinker of alcohol,substances,-
alcoholics,alcoholic,excessive drinkers of alcohol,substances,-
alcoholism,alcoholism,excessive drinking of alcohol,substances,-
along in years,along in years,old,physical/mental attributes,-
armed conflict,armed conflict,war,politics,"Kapron-King, Anna"
au natural,au natural,naked or nude,sexual activity,"Gormandy White, Mary"
batting for the other team,batting for the other team,homosexual,sexual activity,-
between jobs,between jobs,unemployed,employment,"Gormandy White, Mary"
birds and the bees,birds and the bees,sex,sexual activity,-
bosom,bosom,breasts,physical/mental attributes,"Kapron-King, A., Rawson, 1981"
break wind,break wind,fart,bodily functions,"Gormandy White, Mary"
broke wind,break wind,farted,bodily functions,-
broken home,broken home,home with divorced parents,familial matters,-
bust,bust,breasts,physical/mental attributes,"Kapron-King, A., Rawson, 1981"
capital punishment,capital punishment,death penalty,death,English Club
chest,chest,breasts,physical/mental attributes,"Kapron-King, A., Rawson, 1981"
chronologically-challenged,chronologically-challenged,late,physical/mental attributes,-
collateral damage,collateral damage,killing or wounding civilians by mistake,death,"Holder, R.W."
comfort woman,comfort woman,prostitute,sexual activity,"Holder, R.W."
comfort women,comfort woman,prostitutes,sexual activity,-
correctional facilities,correctional facility,jails or prisons,employment,-
correctional facility,correctional facility,jail,employment,"Gormandy White, Mary"
cultural cleansing,cultural cleansing,genocide,politics,"Kapron-King, A., OED"
curvy,curvy,fat,physical/mental attributes,"Gormandy White, Mary"
custodian,custodian,janitor,employment,"Jones, Bradford"
custodians,custodian,janitors,employment,-
dearly departed,dearly departed,dead,death,"Gormandy White, Mary"
deceased,deceased,dead,death,English Club
demise,demise,death,death,"Heerema, Esther"
deprived,deprived,poor,employment,"Kapron-King, A., Rawson, 1981"
detainee,detainee,prisoner,politics,"Kapron-King, A., Rawson, 1981"
detainees,detainee,prisoners,politics,-
detention camp,detention camp,prison,politics,"Kapron-King, A., Rawson, 1981"
detention camps,detention camp,prisons,politics,-
developed country,developed country,first world country,politics,"Kapron-King, A., Silver, 2015"
developing country,developing country,third world or impoverished nation,politics,"Kapron-King, A., Silver, 2015"
developmentally disabled,developmentally disabled,retarded,physical/mental attributes,"Kapron-King, Anna"
did it,doing it,had sex,sexual activity,-
didn't make it,didn't make it,died,death,"Jones, Bradford"
differently-abled,differently-abled,handicapped,physical/mental attributes,"Holder, R.W."
disabled,disabled,crippled,physical/mental attributes,"Kapron-King, A., O'Conner Kellerman,2012"
disadvantaged,disadvantaged,poor,employment,"Jones, Bradford"
dismissed,dismissed,to get fired,employment,"Jones, Bradford"
doing it,doing it,having sex,sexual activity,"Gormandy White, Mary"
domestic engineer,domestic engineer,maid or stay at home mother,employment,-
domestic engineers,domestic engineer,maids or stay at home mothers,employment,-
downsize,downsize,fire,employment,-
drinking problem,drinking problem,excessive drinking of alcohol,substances,-
drinking problems,drinking problem,excessive drinking of alcohol,substances,-
droppings,droppings,animal feces,bodily functions,-
economical,economical,cheap,employment,"Gormandy White, Mary"
economical with the truth,economical with the truth,to be lying,physical/mental attributes,-
elderly,elderly,old,physical/mental attributes,"Jones, Bradford"
enhanced interrogation technique,enhanced interrogation technique,torture,politics,"Kapron-King, Anna"
enhanced interrogation techniques,enhanced interrogation technique,torture methods,politics,-
ethnic cleansing,ethnic cleansing,genocide,death,"Kapron-King, Anna"
ethnically cleansed,ethnically cleansed,killed,death,-
expecting,expecting,to be pregnant,physical/mental attributes,English Club
experienced,experienced,old,physical/mental attributes,"Gormandy White, Mary"
exterminate,exterminate,murder,politics,"Kapron-King, Anna"
fade away,fade away,to die,death,"Holder, R.W."
faded away,fade away,died,death,-
fading away,fade away,dying,death,-
family jewels,family jewels,testicles,physical/mental attributes,"Kapron-King, A., OED"
fatalities,fatality,deaths,death,-
fatality,fatality,death,death,"Kapron-King, Anna"
first base,first base,kissing,sexual activity,-
fourth base,fourth base,having sex,sexual activity,-
freedom fighter,freedom fighter,rebel,politics,"Kapron-King, Anna"
freedom fighters,freedom fighter,rebels,politics,-
friends with benefits,friends with benefits,person you have sex with,sexual activity,-
full figured,full figured,fat,physical/mental attributes,English Club
getting clean,getting clean,discontinuing drug use,substances,-
